,date,sknt,gust
167,2015-01-27 14:50:00,69,78
168,2015-01-28 14:52:00,30,47
169,2015-01-29 14:53:00,23,23
170,2015-01-30 14:55:00,10,10
171,2015-01-31 14:47:00,79,90
172,2015-02-01 14:50:00,58,58
173,2015-02-02 14:55:00,17,17
174,2015-02-03 14:56:00,38,51
175,2015-02-04 14:49:00,41,50
176,2015-02-05 14:50:00,42,46
177,2015-02-06 14:50:00,34,40
178,2015-02-07 14:51:00,49,49
179,2015-02-08 14:50:00,25,25
180,2015-02-09 14:54:00,23,28
181,2015-02-10 14:51:00,40,40
182,2015-02-11 14:59:00,9,9
183,2015-02-12 14:53:00,30,36
184,2015-02-13 14:57:00,58,66
185,2015-02-14 14:53:00,32,41
186,2015-02-15 14:50:00,71,79
187,2015-02-16 14:52:00,78,89
188,2015-02-17 14:50:00,14,14
189,2015-02-18 14:53:00,13,13
190,2015-02-20 14:55:00,70,76
191,2015-02-21 14:54:00,39,56
192,2015-02-22 14:52:00,32,32
193,2015-02-23 14:48:00,68,77
194,2015-02-25 14:52:00,41,41
195,2015-02-26 14:54:00,23,23
196,2015-02-27 14:51:00,27,27
197,2015-03-01 14:51:00,30,38
198,2015-03-02 14:53:00,57,65
199,2015-03-03 14:57:00,26,26
200,2015-03-04 14:50:00,49,49
201,2015-03-05 14:52:00,39,39
202,2015-03-06 14:53:00,22,22
203,2015-03-07 14:49:00,25,36
204,2015-03-08 14:50:00,36,43
205,2015-03-09 14:52:00,54,65
206,2015-03-10 14:54:00,20,27
207,2015-03-11 14:52:00,64,70
208,2015-03-12 14:56:00,61,69
209,2015-03-13 14:48:00,39,39
210,2015-03-14 14:53:00,33,40
211,2015-03-15 14:52:00,37,43
212,2015-03-16 14:54:00,31,31
213,2015-03-17 14:53:00,57,65
214,2015-03-18 14:55:00,62,76
215,2015-03-19 14:57:00,62,68
216,2015-03-20 14:57:00,29,36
217,2015-03-21 14:57:00,23,23
218,2015-03-22 14:50:00,80,84
219,2015-03-23 14:54:00,54,61
220,2015-03-25 14:54:00,18,18
221,2015-03-26 14:48:00,27,27
222,2015-03-27 14:54:00,23,23
223,2015-03-28 14:48:00,12,12
224,2015-03-29 14:55:00,6,6
225,2015-03-30 14:51:00,46,46
226,2015-03-31 14:53:00,33,33
227,2015-04-01 14:57:00,49,57
228,2015-04-02 14:54:00,48,54
229,2015-04-03 14:53:00,30,43
230,2015-04-04 14:55:00,63,68
231,2015-04-05 14:49:00,48,54
232,2015-04-06 14:47:00,27,27
233,2015-04-07 14:53:00,27,27
234,2015-04-08 14:56:00,4,4
235,2015-04-09 14:52:00,12,12
236,2015-04-10 14:51:00,54,66
237,2015-04-11 14:52:00,69,78
238,2015-04-12 14:50:00,38,47
239,2015-04-13 14:48:00,16,20
240,2015-04-14 14:47:00,44,56
241,2015-04-15 14:48:00,42,53
242,2015-04-17 14:50:00,38,44
243,2015-04-18 14:50:00,20,29
244,2015-04-19 14:51:00,6,6
245,2015-04-20 14:51:00,56,61
246,2015-04-21 14:53:00,38,38
247,2015-04-22 14:47:00,22,27
248,2015-04-23 14:51:00,30,30
249,2015-04-24 14:50:00,46,51
250,2015-04-25 14:51:00,24,24
251,2015-04-26 14:47:00,19,19
252,2015-04-27 14:54:00,31,31
253,2015-04-28 14:50:00,33,40
254,2015-04-29 14:48:00,24,24
255,2015-04-30 14:52:00,12,12
256,2015-05-01 14:51:00,4,4
257,2015-05-02 14:54:00,17,17
258,2015-05-03 14:51:00,4,4
259,2015-05-04 14:54:00,30,42
260,2015-05-05 14:51:00,33,44
261,2015-05-06 14:52:00,28,38
262,2015-05-07 14:50:00,33,38
263,2015-05-08 14:55:00,10,10
264,2015-05-09 14:53:00,26,32
265,2015-05-10 14:56:00,43,43
266,2015-05-11 14:58:00,31,37
267,2015-05-12 14:48:00,45,56
268,2015-05-13 14:48:00,37,46
269,2015-05-14 14:56:00,21,21
270,2015-05-15 14:54:00,3,3
271,2015-05-16 14:47:00,17,17
272,2015-05-17 14:57:00,8,8
273,2015-05-18 14:52:00,15,15
274,2015-05-19 14:50:00,23,23
275,2015-05-20 14:55:00,60,67
276,2015-05-21 14:52:00,14,14
277,2015-05-22 14:51:00,40,52
278,2015-05-23 14:54:00,48,61
279,2015-05-24 14:54:00,49,56
280,2015-05-25 14:50:00,36,44
281,2015-05-26 14:53:00,42,50
282,2015-05-27 14:52:00,26,26
283,2015-05-28 14:49:00,36,47
284,2015-05-29 14:53:00,9,9
285,2015-05-30 14:52:00,28,42
286,2015-05-31 14:50:00,10,10
287,2015-06-01 14:51:00,14,14
288,2015-06-02 14:47:00,12,12
289,2015-06-03 14:58:00,3,3
290,2015-06-04 14:54:00,10,10
291,2015-06-05 14:52:00,17,17
292,2015-06-06 14:50:00,24,32
293,2015-06-07 14:50:00,8,8
294,2015-06-08 14:52:00,43,56
295,2015-06-09 14:57:00,14,14
296,2015-06-10 14:55:00,27,31
297,2015-06-11 14:54:00,42,54
298,2015-06-12 14:51:00,13,13
299,2015-06-13 14:49:00,33,42
300,2015-06-14 14:49:00,1,1
301,2015-06-15 14:56:00,32,39
302,2015-06-18 14:47:00,14,14
303,2015-06-20 14:50:00,20,30
304,2015-06-21 14:52:00,14,14
305,2015-06-22 14:52:00,32,38
306,2015-06-23 14:51:00,39,50
307,2015-06-24 14:51:00,35,43
308,2015-06-25 14:56:00,30,38
309,2015-06-26 14:55:00,13,18
310,2015-06-27 14:53:00,9,9
311,2015-06-29 14:59:00,28,28
312,2015-06-30 14:54:00,7,7
313,2015-07-03 14:52:00,22,30
314,2015-07-04 14:51:00,12,12
315,2015-07-05 14:47:00,31,36
316,2015-07-07 14:51:00,24,34
317,2015-07-08 14:50:00,22,22
318,2015-07-09 14:53:00,6,6
319,2015-07-10 14:53:00,24,36
320,2015-07-11 14:57:00,23,31
321,2015-07-12 14:50:00,27,32
322,2015-07-13 14:48:00,9,9
323,2015-07-14 14:47:00,21,32
324,2015-07-15 14:54:00,13,13
325,2015-07-16 14:50:00,4,4
326,2015-07-17 14:48:00,10,10
327,2015-07-18 14:54:00,20,20
328,2015-07-19 14:48:00,29,29
329,2015-07-20 14:47:00,20,20
330,2015-07-21 14:47:00,20,23
331,2015-07-22 14:59:00,41,48
332,2015-07-23 14:53:00,22,32
333,2015-07-24 14:47:00,28,28
334,2015-07-26 14:50:00,23,23
335,2015-07-27 14:49:00,5,5
336,2015-07-28 14:54:00,15,21
337,2015-07-29 14:49:00,23,23
338,2015-07-30 14:50:00,26,34
339,2015-07-31 14:50:00,37,43
340,2015-08-01 14:55:00,35,35
341,2015-08-02 14:55:00,13,19
342,2015-08-03 14:55:00,17,23
343,2015-08-05 14:48:00,29,35
344,2015-08-06 14:51:00,37,47
345,2015-08-07 14:49:00,8,8
346,2015-08-08 14:52:00,0,0
347,2015-08-09 14:52:00,9,9
